Categoria,Codigo categoria,Cursos,Codido Curso,Duracion (horas),Temas del Curso,A Quién Está Dirigido,Descripción del Curso,Lo que Aprenderás,
Operaciones de superficie,FE2,Bombas,FE1 202,4,"Tipos de Bombas?
Componentes y Diseño de Bombas?
Criterios de Selección de las Bombas?
Rendimiento y Operación de las Bombas?
Operación y Control de Bombas","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Bombas está enfocado en el estudio de los diferentes tipos de bombas utilizadas en la industria, sus componentes y criterios de selección, así como el análisis de rendimiento y operación. Se abordan aspectos clave como la operación y control de bombas, permitiendo a los participantes comprender el funcionamiento y la eficiencia de estos equipos en entornos industriales.","Identificar los distintos tipos de bombas y sus componentes principales.
Aplicar criterios de selección adecuados para cada aplicación.
Evaluar el rendimiento y la eficiencia de las bombas.
Operar y controlar bombas de manera segura y eficiente, optimizando los procesos industriales.",
Operaciones de superficie,FE2,Digitalizacion,FE2 203,4,"Introducción a la Industria 4.0 y la Digitalización en Petróleo y Gas?
Sistemas Avanzados de Automatización y Control?
Gestión de Datos y Análisis para Equipos y Operaciones en Superficie","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Digitalización introduce a los participantes en los conceptos clave de la Industria 4.0 y la transformación digital en el sector de petróleo y gas. Se exploran sistemas avanzados de automatización y control, así como la gestión y el análisis de datos para equipos y operaciones en superficie, permitiendo comprender cómo la tecnología optimiza procesos y mejora la eficiencia operacional.","Comprender los fundamentos de la digitalización y su impacto en la industria energética.
Identificar y aplicar sistemas avanzados de automatización y control.
Gestionar y analizar datos operativos para mejorar la toma de decisiones y la eficiencia de los equipos.
Reconocer oportunidades para implementar soluciones digitales que optimicen procesos industriales.",
Operaciones de superficie,FE2,Oleoductos,FE2 204,4,"Supervisión de construcción de oleoductos?
Salvaguardas críticas durante la construcción de oleoductos?
Problemas comunes y cómo resolverlos?
Mantenimiento e inspección de los oleoductos y líneas de producción.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Oleoductos está orientado a la supervisión de la construcción de oleoductos, abordando las salvaguardas críticas durante el proceso constructivo, los problemas comunes que pueden surgir y las mejores prácticas para su resolución. Además, se cubren aspectos clave sobre el mantenimiento e inspección de oleoductos y líneas de producción, asegurando la integridad y eficiencia operativa en la industria petrolera.","Supervisar eficazmente la construcción de oleoductos, identificando y aplicando salvaguardas críticas.
Reconocer y resolver problemas comunes durante la construcción y operación de oleoductos.
Implementar procedimientos de mantenimiento e inspección para garantizar la seguridad y confiabilidad de las líneas de producción.",
Operaciones de superficie,FE2,Arranque y Parada de Emergencia,FE2 205,4,"Arranque y Parada de Emergencia en Petróleo y Gas
Procedimientos de Arranque
Procedimientos de Parada de Emergencia
Integración de Procedimientos de Arranque y Parada
Evaluación de Riesgos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Arranque y Parada de Emergencia está orientado a proporcionar los conocimientos fundamentales sobre los procedimientos de arranque y parada de emergencia en operaciones de petróleo y gas. Se abordan los pasos críticos para la integración de procedimientos, la evaluación de riesgos y las mejores prácticas para garantizar la seguridad y la continuidad operativa en situaciones imprevistas.","Aplicar procedimientos seguros de arranque y parada de emergencia.
Integrar protocolos de emergencia en los procesos operativos.
Evaluar riesgos asociados y tomar decisiones informadas en situaciones críticas.
Contribuir a la protección de personas, equipos y medio ambiente durante eventos de emergencia.",
Seguridad de procesos,PSM,Principios de Seguridad de Procesos ,HSE 201,12,"Introducción
Propósito
Aplicación Específica
Eventos Significativos
Módulo I: Normas de Referencia
Módulo II: Definiciones y Terminologias
Módulo III: Identificación de Peligros y Evaluación de Riesgos
Módulo IV: Identificación de Peligros y Evaluación de Riesgos
Módulo V: Elementos de Gestión de Seguridad de Procesos","Operaciones,  mantenimiento y SIHAO","El curso de Principios de Seguridad de Procesos proporciona una visión integral sobre los fundamentos, normas y mejores prácticas para la gestión segura de procesos en la industria. Se abordan temas como la identificación de peligros, evaluación de riesgos, elementos clave de la gestión de seguridad de procesos y la aplicación de estándares internacionales, con el objetivo de fortalecer la cultura de seguridad y prevenir incidentes operacionales.","Comprender los conceptos y terminología esenciales de la seguridad de procesos.
Identificar peligros y evaluar riesgos en operaciones industriales.
Aplicar los elementos fundamentales de la gestión de seguridad de procesos.
Integrar normas y mejores prácticas para la prevención de incidentes y la mejora continua de la seguridad operacional.",
"Seguridad, Higiene y Ambiente",HSE,Supervision de Trabajos de Izamiento Mecánico,LIF 101,12,"Descripción General del Equipo
Preparación de Planes de Izamiento
Documentación y Ejecución ","Todas las gerencias ejecutoras, tecnicas y SIHAO y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso proporciona una visión integral sobre la supervisión de operaciones de izamiento mecánico en entornos industriales. Abarca desde la descripción general de los equipos utilizados, la preparación de planes de izamiento, hasta la documentación y ejecución segura de las maniobras. El enfoque está en la gestión de riesgos, el cumplimiento normativo y la aplicación de mejores prácticas para garantizar la seguridad y eficiencia en las actividades de izaje, dirigido a personal de operaciones, mantenimiento y áreas relacionadas.","El participante desarrollará competencias para identificar los equipos y accesorios adecuados para izamiento, planificar y supervisar maniobras críticas, aplicar criterios de descarte de equipos, gestionar riesgos asociados y documentar correctamente cada operación. Además, adquirirá herramientas para la toma de decisiones seguras y la implementación de salvaguardas, contribuyendo a la prevención de incidentes y al cumplimiento de estándares de seguridad industrial.",
"Seguridad, Higiene y Ambiente",HSE,Sistema de comando de incidentes (ICS),ICS 101,16,"Introducción al NIMS y SCI
Estructura Organizacional del SCI
Funciones principales
Roles gerenciales en el SCI
Manejo de Recursos y Comunicaciones
Coordinación de recursos bajo el SCI
Planificación de comunicaciones en incidentes
Planificación Estratégica
Manejo por objetivos y Plan de Acción del Incidente (PAI)
Ejercicio práctico: Definición de objetivos estratégicos
Comando Unificado y Coordinación Interinstitucional: Funcionamiento del Comando Unificado y Casos de estudio: Experiencias en la industria petrolera.
Transferencia de Mando y Conclusiones
Simulación de Incidente
Evaluación, experiencias y cierre","Todas las gerencias ejecutoras, tecnicas y SIHAO y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso está diseñado para capacitar al personal en la implementación y gestión del Sistema de Comando de Incidentes (SCI) en la industria petrolera. El programa aborda los principios fundamentales del SCI, su estructura organizacional, la coordinación de recursos y comunicaciones, la planificación estratégica y la gestión de incidentes. Se incluyen ejercicios prácticos y casos de estudio para fortalecer la toma de decisiones y la respuesta efectiva ante situaciones críticas.","El participante adquirirá conocimientos para aplicar el SCI en la gestión de emergencias, coordinar equipos multidisciplinarios, planificar acciones estratégicas y documentar incidentes. Además, desarrollará habilidades para liderar la respuesta inicial, transferir el mando de manera segura y evaluar lecciones aprendidas, contribuyendo a la mejora continua de la seguridad operacional.",
"Seguridad, Higiene y Ambiente",HSE,Liderazgo,LW 101,16,"Expectativas
El estado actual de la seguridad en Latino América y en Venezuela
Sistemas, Escenarios de alto riesgo y definir las Salvaguardas
Qué es, cómo y cuándo se aplica la Autoridad para detener el Trabajo
 VIT
coaching tecnicas
Practicas de comunicacion ",Lideres de la Empresa Mixta,"Este curso de liderazgo está orientado a fortalecer las competencias de gestión y dirección en el sector petrolero. A través de un enfoque práctico, se abordan las expectativas del liderazgo, el estado actual de la seguridad en Latinoamérica y Venezuela, la gestión de escenarios de alto riesgo, la aplicación de salvaguardas y la autoridad para detener el trabajo. El programa incluye técnicas de coaching, prácticas de comunicación y herramientas para el desarrollo de líderes en empresas mixtas, promoviendo una cultura de excelencia operacional y seguridad.","El participante adquirirá habilidades para liderar equipos en entornos complejos, gestionar riesgos operacionales, aplicar criterios de seguridad y comunicación efectiva, y tomar decisiones responsables en situaciones críticas. Además, desarrollará competencias para implementar prácticas de liderazgo que contribuyan al bienestar organizacional y al cumplimiento de los estándares de seguridad industrial.",
"Seguridad, Higiene y Ambiente",HSE,Herramientas de Liderazgo en Excelencia Operacional,FS 101,40,"Cultura de OE, Autoridad Detener trabajo.
 Prácticas de Trabajo Seguro (PTS) 
Desempeño Humano Organizacional
Verificacióny Validación V&V/ Gestión de Excelencia Operacional de Contratistas
",Lideres de la Empresa Mixta,"Este curso está enfocado en el desarrollo de competencias de liderazgo orientadas a la excelencia operacional en la industria petrolera. El programa aborda la cultura de excelencia operacional, la autoridad para detener el trabajo, prácticas de trabajo seguro, desempeño humano organizacional y la gestión de contratistas. Se incluyen técnicas de verificación y validación, así como herramientas para fortalecer la gestión y el liderazgo en equipos de alto desempeño, promoviendo una cultura de seguridad y mejora continua.","El participante adquirirá habilidades para implementar prácticas de liderazgo que fomenten la excelencia operacional, gestionar equipos de manera efectiva, aplicar criterios de seguridad y comunicación, y utilizar herramientas de verificación y validación para asegurar el cumplimiento de estándares. Además, desarrollará competencias para liderar procesos de mejora continua y gestionar contratistas bajo criterios de excelencia.",
PDVSA Certificaciones,PDVCER,Control de fuentes de energia - LOTO,PDVCER 5,8,"MODULO I (Mañana)
Origen del control de fuente de energía (LOTO).
LOTO como herramienta de comunicacion.
Marco legal y normas aplicables.
Capas de protección.
Línea de tiempo.
Energía y tipos de energía peligrosas.
Términos y definiciones.
Roles y responsabilidades.
Reconocimiento de equipos, herramientas y materiales para la aplicación de LOTO.
Tipos de aislamiento y aseguramiento.
Instalación de dispositivos de aislamiento y aseguramiento (Secuencia).
Retiro de los dispositivos de aislamiento  y aseguramiento.
MODULO II (Tarde)
Ejercicios prácticos en aula para la aplicación de dispositivo de aislamiento y aseguramiento.
Eercicios en area operacional o simulador.
Evaluacinón de conocimientos teorica.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso está diseñado para certificar a los participantes en el control seguro de fuentes de energía mediante la aplicación de procedimientos de bloqueo y etiquetado (LOTO). Se abordan los fundamentos legales y normativos, los tipos de energía peligrosas, los dispositivos de aislamiento y aseguramiento, así como las responsabilidades y roles involucrados. El programa incluye ejercicios prácticos y simulaciones para garantizar la correcta implementación de LOTO en ambientes operacionales, promoviendo la seguridad y la prevención de accidentes laborales.","El participante aprenderá a identificar fuentes de energía peligrosas, seleccionar y aplicar dispositivos de aislamiento y aseguramiento, ejecutar procedimientos de bloqueo y etiquetado, y reconocer los roles y responsabilidades en el proceso LOTO. Además, desarrollará habilidades para realizar ejercicios prácticos en campo y evaluar el cumplimiento de los procedimientos, contribuyendo a la protección personal y colectiva en el entorno laboral.",
Facilidades de superficie,FE1,Combustión y Evaluación de Hornos,FE1 103,8,"Tipos de hornos?
Secciones del horno?
Combustión?
Quemadores?
Variables operacionales ?
Seguridad en los hornos?
Problemas Operacionales ?
Procedimiento a seguir para encender un horno?
Ejercicios","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Válvulas de control,FE1 104,8,"Introduccion?
Principios de funcionamiento de las válvulas de control?
Tipos de válvulas de control?
Procedimientos de mantenimiento preventivo de válvulas de control","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Compresores,FE1 105,8,"Sistema de Aire comprimido?
Compresores y sus aplicaciones?
Tipos de compresores?
Tratamiento del aire?
Salvaguarda compresores de aire comprimido?
Compresores de gas natural?
Compresores de simple y doble efecto?
Componentes de compresores reciprocantes?
Seguridad en las operaciones ?
Procedimiento de arranque?
Mantenimiento","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Operaciones de oleoductos,FE 106,4,"Vista general de tuberías?
Procedimiento para la trampa de lanzamiento y recepción de cochino.?
Flujo multifásico?
Mantenimiento de válvulas?
Problemas de integridad típicos?
Como identificar el rating de tuberías y su diseño","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Integridad de Activos y Ensayos No Destructivos,FE 107,4,"Fenómenos de Corrosión comunes y sus consecuencias.?
Importancia del RBI?
Falla de los materiales.?
Visión general de los END.
Tipos de END?
Selección de END.?
Estándares?
Integridad mecánica de equipos estáticos y rotativos.?
Inspección en marcha de equipos y en parada","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Instrumentacion,FE1 108,8,"Definición
Instrumentación
Variables
Lazo de control
Medición
Escalas
Factores de medición
Medidores
Simbología de instrumentación
Lectura de planos P&ID","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Operadores de produccion de Campo,FE 109,8,"Rol del operador
?Estabilización del crudo
?Manejo de Diluente en CPF??
Gas de servicio?
?Sistema de venteo??
Manejo de químicos?
Sistema de Control de Incendios?
Sistema de proporcionador de espuma?
Sistema de detección de fuego","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Corrosion y emisiones,FE110,4,"Corrosión ?
Mecanismos de protección ?
Fallas en los recubrimientos ?
Fuentes de emisiones","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Medidores de flujo,FE 111,4,"Medición de flujo?
Medición de tanques
Medición automática de tanques?
Medidores Coriolis?
Medidor de flujo de vórtice?
LACT","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Pruebas de pozos,FE112,4,"Introducción a las pruebas de pozos?
Rangos de presión en las pruebas de pozos
Colectores de prueba?
Separador de prueba?
Depuración?
Procedimiento/tiempos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Bombas,FE2 101,8,"Tipos de bombas ?
Succión y descarga de las bombas
Bombas Booster?
Bombas de desplazamiento positivo?
Bombas centrífugas?
Principios de funcionamiento de las bombas.?
Parámetros de operación y control de bombas.?
Sistemas de seguridad para bombas?
Problemas comunes de bombas y soluciones?
Mantenimiento y cuidado de bombas","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Bombas: Mantenimiento,FE2 102,8,"Efectos de la cavitación
Erosión del material
Vibraciones
Ruidos y golpes
Disminución de la eficiencia
Comunicación entre turnos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Mechurrios,FE2 103,8,"Principios de funcionamiento?
?Depurador del mechurrio?
Mechurrio y combustores??
Parámetros de operación y control?
Factores que afectan su desempeño?
Mantenimiento y Seguridad?
?Regulación Ambiental","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Variadores de Frecuencia (VFD),FE2 104,8,"Principios de funcionamiento
Campos de aplicación
Variables de control
Instalación y pruebas
Interpretación de resultados
Mantenimiento.?
Problemas y soluciones.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
